country,year,sovereignrating
Bangladesh,2016,40
Belgium,1992,95
Belgium,1993,95
Belgium,1994,95
Belgium,1995,95
Belgium,1996,95
Belgium,1997,95
Belgium,1998,95
Belgium,1999,95
Belgium,2000,85
Belgium,2001,85
Belgium,2002,90
Belgium,2003,95
Belgium,2004,95
Belgium,2005,95
Belgium,2006,95
Belgium,2007,95
Belgium,2008,95
Belgium,2009,95
Belgium,2010,95
Belgium,2011,91.666664
Belgium,2012,90
Belgium,2013,90
Belgium,2014,89.545456
Belgium,2015,89.545456
Belgium,2016,88.333336
Brazil,1992,30
Brazil,1993,30
Brazil,1994,30
Brazil,1995,35
Brazil,1996,35
Brazil,1997,40
Brazil,1998,35
Brazil,1999,33.333332
Brazil,2000,37.5
Brazil,2001,40
Brazil,2002,33.75
Brazil,2003,32.5
Brazil,2004,40
Brazil,2005,39
Brazil,2006,44
Brazil,2007,48.333332
Brazil,2008,55
Brazil,2009,55
Brazil,2010,55
Brazil,2011,58
Brazil,2012,60
Brazil,2013,60
Brazil,2014,59.166668
Brazil,2015,53
Brazil,2016,45
Bulgaria,1992,25
Bulgaria,1993,25
Bulgaria,1994,25
Bulgaria,1995,25
Bulgaria,1996,25
Bulgaria,1997,30
Bulgaria,1998,30
Bulgaria,1999,30
Bulgaria,2000,33.333332
Bulgaria,2001,37.5
Bulgaria,2002,41.25
Bulgaria,2003,48.333332
Bulgaria,2004,51.25
Bulgaria,2005,57
Bulgaria,2006,60
Bulgaria,2007,55
Bulgaria,2008,60
Bulgaria,2009,57.5
Bulgaria,2010,55
Bulgaria,2011,56.25
Bulgaria,2012,56
Bulgaria,2013,56.666668
Bulgaria,2014,54.285713
Bulgaria,2015,57.5
Bulgaria,2016,55
Canada,1992,95
Canada,1993,95
Canada,1994,95
Canada,1995,95
Canada,1996,95
Canada,1997,95
Canada,1998,95
Canada,1999,95
Canada,2000,90
Canada,2001,95
Canada,2002,100
Canada,2003,100
Canada,2004,100
Canada,2005,100
Canada,2006,100
Canada,2007,100
Canada,2008,100
Canada,2009,100
Canada,2010,100
Canada,2011,100
Canada,2012,100
Canada,2013,100
Canada,2014,100
Canada,2015,100
Canada,2016,100
Chile,1992,60
Chile,1993,65
Chile,1994,65
Chile,1995,70
Chile,1996,70
Chile,1997,70
Chile,1998,70
Chile,1999,70
Chile,2000,70
Chile,2001,70
Chile,2002,70
Chile,2003,67.5
Chile,2004,72.5
Chile,2005,72.5
Chile,2006,71.666664
Chile,2007,77.5
Chile,2008,75
Chile,2009,80
Chile,2010,82.5
Chile,2011,80
Chile,2012,82.5
Chile,2013,81.666664
Chile,2014,80
Chile,2015,82.5
Chile,2016,81.25
Colombia,1992,55
Colombia,1993,55
Colombia,1994,55
Colombia,1995,55
Colombia,1996,55
Colombia,1997,55
Colombia,1998,55
Colombia,1999,52.5
Colombia,2000,48.75
Colombia,2001,48.75
Colombia,2002,45
Colombia,2003,45
Colombia,2004,45
Colombia,2005,45
Colombia,2006,45
Colombia,2007,48.333332
Colombia,2008,50
Colombia,2009,50
Colombia,2010,50
Colombia,2011,55
Colombia,2012,55
Colombia,2013,58.333332
Colombia,2014,60
Colombia,2015,60
Colombia,2016,60
Croatia,1992,
Croatia,1993,
Croatia,1994,55
Croatia,1995,55
Croatia,1996,55
Croatia,1997,55
Croatia,1998,55
Croatia,1999,55
Croatia,2000,50
Croatia,2001,55
Croatia,2002,55
Croatia,2003,55
Croatia,2004,57.5
Croatia,2005,57.5
Croatia,2006,60
Croatia,2007,55
Croatia,2008,57.5
Croatia,2009,57.5
Croatia,2010,55
Croatia,2011,55
Croatia,2012,54.5
Croatia,2013,52
Croatia,2014,48.636364
Croatia,2015,45
Croatia,2016,45
Czechia,1992,
Czechia,1993,60
Czechia,1994,65
Czechia,1995,66.666664
Czechia,1996,66.666664
Czechia,1997,66.666664
Czechia,1998,72.5
Czechia,1999,72.5
Czechia,2000,65
Czechia,2001,65
Czechia,2002,75
Czechia,2003,70
Czechia,2004,70
Czechia,2005,71.666664
Czechia,2006,80
Czechia,2007,75
Czechia,2008,80
Czechia,2009,80
Czechia,2010,77.5
Czechia,2011,82.5
Czechia,2012,80
Czechia,2013,80
Czechia,2014,80
Czechia,2015,80
Czechia,2016,80
Denmark,1992,95
Denmark,1993,95
Denmark,1994,95
Denmark,1995,95
Denmark,1996,95
Denmark,1997,95
Denmark,1998,95
Denmark,1999,97.5
Denmark,2000,95
Denmark,2001,100
Denmark,2002,100
Denmark,2003,100
Denmark,2004,100
Denmark,2005,100
Denmark,2006,100
Denmark,2007,100
Denmark,2008,100
Denmark,2009,100
Denmark,2010,100
Denmark,2011,100
Denmark,2012,100
Denmark,2013,100
Denmark,2014,100
Denmark,2015,100
Denmark,2016,100
Estonia,1992,
Estonia,1993,
Estonia,1994,
Estonia,1995,65
Estonia,1996,65
Estonia,1997,65
Estonia,1998,65
Estonia,1999,65
Estonia,2000,63.333332
Estonia,2001,68.333336
Estonia,2002,80
Estonia,2003,70
Estonia,2004,75
Estonia,2005,75
Estonia,2006,76.666664
Estonia,2007,77.5
Estonia,2008,75
Estonia,2009,74.166664
Estonia,2010,71.666664
Estonia,2011,81.25
Estonia,2012,83.333336
Estonia,2013,80
Estonia,2014,80
Estonia,2015,80
Estonia,2016,80
Finland,1992,95
Finland,1993,85
Finland,1994,85
Finland,1995,85
Finland,1996,90
Finland,1997,90
Finland,1998,95
Finland,1999,95
Finland,2000,97.5
Finland,2001,97.5
Finland,2002,100
Finland,2003,100
Finland,2004,100
Finland,2005,100
Finland,2006,100
Finland,2007,100
Finland,2008,100
Finland,2009,100
Finland,2010,100
Finland,2011,100
Finland,2012,100
Finland,2013,100
Finland,2014,99.375
Finland,2015,97.5
Finland,2016,95
France,1992,100
France,1993,100
France,1994,100
France,1995,100
France,1996,100
France,1997,100
France,1998,100
France,1999,100
France,2000,100
France,2001,100
France,2002,100
France,2003,100
France,2004,100
France,2005,100
France,2006,100
France,2007,100
France,2008,100
France,2009,100
France,2010,100
France,2011,100
France,2012,100
France,2013,98.888885
France,2014,94.5
France,2015,90
France,2016,90
Germany,1992,100
Germany,1993,100
Germany,1994,100
Germany,1995,100
Germany,1996,100
Germany,1997,100
Germany,1998,100
Germany,1999,100
Germany,2000,100
Germany,2001,100
Germany,2002,100
Germany,2003,100
Germany,2004,100
Germany,2005,100
Germany,2006,100
Germany,2007,100
Germany,2008,100
Germany,2009,100
Germany,2010,100
Germany,2011,100
Germany,2012,100
Germany,2013,100
Germany,2014,100
Germany,2015,100
Germany,2016,100
Greece,1992,55
Greece,1993,55
Greece,1994,55
Greece,1995,55
Greece,1996,55
Greece,1997,55
Greece,1998,55
Greece,1999,62.5
Greece,2000,65
Greece,2001,67.5
Greece,2002,75
Greece,2003,75
Greece,2004,80
Greece,2005,77.5
Greece,2006,75
Greece,2007,75
Greece,2008,75
Greece,2009,75
Greece,2010,71.666664
Greece,2011,55.625
Greece,2012,27
Greece,2013,20
Greece,2014,27.692308
Greece,2015,17.5
Greece,2016,25
Hungary,1992,50
Hungary,1993,50
Hungary,1994,50
Hungary,1995,50
Hungary,1996,52.5
Hungary,1997,55
Hungary,1998,57.5
Hungary,1999,65
Hungary,2000,68
Hungary,2001,80
Hungary,2002,70
Hungary,2003,70
Hungary,2004,70
Hungary,2005,68.75
Hungary,2006,70
Hungary,2007,65
Hungary,2008,64.166664
Hungary,2009,58.75
Hungary,2010,57.5
Hungary,2011,53
Hungary,2012,49.285713
Hungary,2013,49.583332
Hungary,2014,49.583332
Hungary,2015,50
Hungary,2016,55
India,1992,50
India,1993,50
India,1994,50
India,1995,50
India,1996,50
India,1997,50
India,1998,47.5
India,1999,47.5
India,2000,46.666668
India,2001,46.666668
India,2002,45
India,2003,47.5
India,2004,50
India,2005,50
India,2006,53.333332
India,2007,55
India,2008,55
India,2009,55
India,2010,55
India,2011,55
India,2012,55
India,2013,55
India,2014,55
India,2015,55
India,2016,55
Indonesia,1992,55
Indonesia,1993,55
Indonesia,1994,55
Indonesia,1995,60
Indonesia,1996,60
Indonesia,1997,52.5
Indonesia,1998,28.571428
Indonesia,1999,20
Indonesia,2000,25
Indonesia,2001,21.666666
Indonesia,2002,25
Indonesia,2003,30
Indonesia,2004,33.333332
Indonesia,2005,35
Indonesia,2006,36
Indonesia,2007,37.5
Indonesia,2008,45
Indonesia,2009,41.666668
Indonesia,2010,46.25
Indonesia,2011,51.25
Indonesia,2012,55
Indonesia,2013,54.166668
Indonesia,2014,55
Indonesia,2015,52.5
Indonesia,2016,55
Ireland,1992,85
Ireland,1993,85
Ireland,1994,86.666664
Ireland,1995,90
Ireland,1996,90
Ireland,1997,92.5
Ireland,1998,96.666664
Ireland,1999,96.666664
Ireland,2000,97.5
Ireland,2001,100
Ireland,2002,100
Ireland,2003,100
Ireland,2004,100
Ireland,2005,100
Ireland,2006,100
Ireland,2007,100
Ireland,2008,100
Ireland,2009,95
Ireland,2010,78.571426
Ireland,2011,62.142857
Ireland,2012,65
Ireland,2013,62
Ireland,2014,66.5
Ireland,2015,72.5
Ireland,2016,72.5
Italy,1992,90
Italy,1993,90
Italy,1994,90
Italy,1995,90
Italy,1996,85
Italy,1997,85
Italy,1998,90
Italy,1999,90
Italy,2000,85
Italy,2001,85
Italy,2002,90
Italy,2003,90
Italy,2004,85
Italy,2005,86.666664
Italy,2006,85
Italy,2007,85
Italy,2008,85
Italy,2009,85
Italy,2010,85
Italy,2011,79.375
Italy,2012,68.333336
Italy,2013,64
Italy,2014,63.75
Italy,2015,65
Italy,2016,65
Japan,1992,100
Japan,1993,100
Japan,1994,100
Japan,1995,100
Japan,1996,100
Japan,1997,100
Japan,1998,100
Japan,1999,100
Japan,2000,95
Japan,2001,93
Japan,2002,90
Japan,2003,90
Japan,2004,85
Japan,2005,87.5
Japan,2006,92.5
Japan,2007,96.666664
Japan,2008,96.666664
Japan,2009,96.666664
Japan,2010,90
Japan,2011,88.333336
Japan,2012,85
Japan,2013,80
Japan,2014,80
Japan,2015,77.5
Japan,2016,76.25
Latvia,1992,
Latvia,1993,
Latvia,1994,60
Latvia,1995,60
Latvia,1996,60
Latvia,1997,60
Latvia,1998,60
Latvia,1999,60
Latvia,2000,60
Latvia,2001,60
Latvia,2002,70
Latvia,2003,67.5
Latvia,2004,70
Latvia,2005,70
Latvia,2006,75
Latvia,2007,69
Latvia,2008,61.875
Latvia,2009,52.5
Latvia,2010,50
Latvia,2011,53.75
Latvia,2012,55.714287
Latvia,2013,64.375
Latvia,2014,67.222221
Latvia,2015,70
Latvia,2016,70
Lithuania,1992,
Lithuania,1993,
Lithuania,1994,45
Lithuania,1995,45
Lithuania,1996,45
Lithuania,1997,52.5
Lithuania,1998,52.5
Lithuania,1999,52.5
Lithuania,2000,50
Lithuania,2001,55
Lithuania,2002,58
Lithuania,2003,65
Lithuania,2004,68.333336
Lithuania,2005,71.666664
Lithuania,2006,73.75
Lithuania,2007,75
Lithuania,2008,70
Lithuania,2009,64.375
Lithuania,2010,61.666668
Lithuania,2011,60
Lithuania,2012,60
Lithuania,2013,63.333332
Lithuania,2014,67.85714
Lithuania,2015,70
Lithuania,2016,70
Malaysia,1992,75
Malaysia,1993,75
Malaysia,1994,80
Malaysia,1995,80
Malaysia,1996,80
Malaysia,1997,78.333336
Malaysia,1998,61.25
Malaysia,1999,56.25
Malaysia,2000,60
Malaysia,2001,60
Malaysia,2002,62
Malaysia,2003,67.5
Malaysia,2004,67
Malaysia,2005,70
Malaysia,2006,70
Malaysia,2007,70
Malaysia,2008,70
Malaysia,2009,70
Malaysia,2010,70
Malaysia,2011,70
Malaysia,2012,70
Malaysia,2013,70
Malaysia,2014,70
Malaysia,2015,70
Malaysia,2016,70
Mexico,1992,50
Mexico,1993,50
Mexico,1994,50
Mexico,1995,45
Mexico,1996,45
Mexico,1997,45
Mexico,1998,45
Mexico,1999,45
Mexico,2000,50
Mexico,2001,55
Mexico,2002,56.666668
Mexico,2003,57.5
Mexico,2004,57.5
Mexico,2005,61
Mexico,2006,61
Mexico,2007,62.5
Mexico,2008,65
Mexico,2009,61.666668
Mexico,2010,61.666668
Mexico,2011,60
Mexico,2012,60
Mexico,2013,64.444443
Mexico,2014,65.454544
Mexico,2015,65.454544
Mexico,2016,66
Morocco,1992,
Morocco,1993,
Morocco,1994,
Morocco,1995,45
Morocco,1996,45
Morocco,1997,45
Morocco,1998,45
Morocco,1999,50
Morocco,2000,50
Morocco,2001,45
Morocco,2002,45
Morocco,2003,47.5
Morocco,2004,45
Morocco,2005,50
Morocco,2006,50
Morocco,2007,52.5
Morocco,2008,50
Morocco,2009,50
Morocco,2010,55
Morocco,2011,55
Morocco,2012,55
Morocco,2013,53.333332
Morocco,2014,54
Morocco,2015,55
Morocco,2016,55
Netherlands,1992,100
Netherlands,1993,100
Netherlands,1994,100
Netherlands,1995,100
Netherlands,1996,100
Netherlands,1997,100
Netherlands,1998,100
Netherlands,1999,100
Netherlands,2000,100
Netherlands,2001,100
Netherlands,2002,100
Netherlands,2003,100
Netherlands,2004,100
Netherlands,2005,100
Netherlands,2006,100
Netherlands,2007,100
Netherlands,2008,100
Netherlands,2009,100
Netherlands,2010,100
Netherlands,2011,100
Netherlands,2012,100
Netherlands,2013,99.285713
Netherlands,2014,100
Netherlands,2015,98.333336
Netherlands,2016,100
New Zealand,1992,85
New Zealand,1993,85
New Zealand,1994,87.5
New Zealand,1995,90
New Zealand,1996,93.333336
New Zealand,1997,93.333336
New Zealand,1998,93.333336
New Zealand,1999,93.333336
New Zealand,2000,93.333336
New Zealand,2001,95
New Zealand,2002,95
New Zealand,2003,100
New Zealand,2004,100
New Zealand,2005,95
New Zealand,2006,95
New Zealand,2007,95
New Zealand,2008,95
New Zealand,2009,95
New Zealand,2010,95
New Zealand,2011,90
New Zealand,2012,90
New Zealand,2013,90
New Zealand,2014,90
New Zealand,2015,90
New Zealand,2016,90
Nigeria,1992,
Nigeria,1993,
Nigeria,1994,
Nigeria,1995,
Nigeria,1996,
Nigeria,1997,
Nigeria,1998,
Nigeria,1999,
Nigeria,2000,
Nigeria,2001,
Nigeria,2002,
Nigeria,2003,
Nigeria,2004,40
Nigeria,2005,40
Nigeria,2006,40
Nigeria,2007,40
Nigeria,2008,40
Nigeria,2009,37.5
Nigeria,2010,40
Nigeria,2011,37.5
Nigeria,2012,40
Nigeria,2013,40
Nigeria,2014,40
Nigeria,2015,38.75
Nigeria,2016,35
Norway,1992,100
Norway,1993,100
Norway,1994,100
Norway,1995,100
Norway,1996,100
Norway,1997,100
Norway,1998,100
Norway,1999,100
Norway,2000,100
Norway,2001,100
Norway,2002,100
Norway,2003,100
Norway,2004,100
Norway,2005,100
Norway,2006,100
Norway,2007,100
Norway,2008,100
Norway,2009,100
Norway,2010,100
Norway,2011,100
Norway,2012,100
Norway,2013,100
Norway,2014,100
Norway,2015,100
Norway,2016,100
Pakistan,1992,35
Pakistan,1993,35
Pakistan,1994,35
Pakistan,1995,35
Pakistan,1996,35
Pakistan,1997,35
Pakistan,1998,20.833334
Pakistan,1999,25
Pakistan,2000,25
Pakistan,2001,20
Pakistan,2002,30
Pakistan,2003,30
Pakistan,2004,35
Pakistan,2005,33.75
Pakistan,2006,35
Pakistan,2007,35
Pakistan,2008,24.375
Pakistan,2009,25
Pakistan,2010,25
Pakistan,2011,25
Pakistan,2012,22.5
Pakistan,2013,22.5
Pakistan,2014,20
Pakistan,2015,25
Pakistan,2016,30
Paraguay,1992,
Paraguay,1993,40
Paraguay,1994,40
Paraguay,1995,40
Paraguay,1996,40
Paraguay,1997,40
Paraguay,1998,40
Paraguay,1999,32.5
Paraguay,2000,32.5
Paraguay,2001,32.5
Paraguay,2002,25
Paraguay,2003,20
Paraguay,2004,25
Paraguay,2005,25
Paraguay,2006,25
Paraguay,2007,25
Paraguay,2008,25
Paraguay,2009,25
Paraguay,2010,31.666666
Paraguay,2011,40
Paraguay,2012,40
Paraguay,2013,40
Paraguay,2014,45
Paraguay,2015,47.5
Paraguay,2016,46
Peru,1992,
Peru,1993,
Peru,1994,45
Peru,1995,45
Peru,1996,45
Peru,1997,45
Peru,1998,30
Peru,1999,30
Peru,2000,44.166668
Peru,2001,40
Peru,2002,40
Peru,2003,40
Peru,2004,43.333332
Peru,2005,45
Peru,2006,46.666668
Peru,2007,46.25
Peru,2008,55
Peru,2009,52.5
Peru,2010,55
Peru,2011,58.333332
Peru,2012,60
Peru,2013,65
Peru,2014,67.5
Peru,2015,65
Peru,2016,65
Philippines,1992,40
Philippines,1993,40
Philippines,1994,40
Philippines,1995,42.5
Philippines,1996,42.5
Philippines,1997,50
Philippines,1998,50
Philippines,1999,50
Philippines,2000,50
Philippines,2001,50
Philippines,2002,50
Philippines,2003,46.666668
Philippines,2004,45
Philippines,2005,40
Philippines,2006,40
Philippines,2007,40
Philippines,2008,35
Philippines,2009,40
Philippines,2010,45
Philippines,2011,46.666668
Philippines,2012,49.166668
Philippines,2013,53
Philippines,2014,57.5
Philippines,2015,55
Philippines,2016,55
Poland,1992,
Poland,1993,
Poland,1994,50
Poland,1995,50
Poland,1996,52.5
Poland,1997,55
Poland,1998,55
Poland,1999,62.5
Poland,2000,65
Poland,2001,65
Poland,2002,70
Poland,2003,65
Poland,2004,65
Poland,2005,65
Poland,2006,65
Poland,2007,70
Poland,2008,70
Poland,2009,70
Poland,2010,70
Poland,2011,70
Poland,2012,70
Poland,2013,70
Poland,2014,70
Poland,2015,72.5
Poland,2016,69
Portugal,1992,80
Portugal,1993,85
Portugal,1994,85
Portugal,1995,85
Portugal,1996,85
Portugal,1997,85
Portugal,1998,88.333336
Portugal,1999,88.333336
Portugal,2000,90
Portugal,2001,90
Portugal,2002,90
Portugal,2003,90
Portugal,2004,90
Portugal,2005,86.666664
Portugal,2006,86.666664
Portugal,2007,90
Portugal,2008,90
Portugal,2009,85
Portugal,2010,79.285713
Portugal,2011,58
Portugal,2012,47
Portugal,2013,45
Portugal,2014,46.25
Portugal,2015,47.5
Portugal,2016,50
Romania,1992,
Romania,1993,
Romania,1994,40
Romania,1995,40
Romania,1996,40
Romania,1997,40
Romania,1998,34.285713
Romania,1999,25
Romania,2000,26.666666
Romania,2001,28.75
Romania,2002,36.25
Romania,2003,42
Romania,2004,50
Romania,2005,52.5
Romania,2006,55
Romania,2007,55
Romania,2008,53.333332
Romania,2009,53.333332
Romania,2010,50
Romania,2011,53.75
Romania,2012,55
Romania,2013,54.285713
Romania,2014,55
Romania,2015,55
Romania,2016,55
Russia,1992,
Russia,1993,
Russia,1994,42.5
Russia,1995,42.5
Russia,1996,42.5
Russia,1997,40
Russia,1998,33.18182
Russia,1999,33.18182
Russia,2000,26
Russia,2001,33.333332
Russia,2002,40.833332
Russia,2003,50
Russia,2004,53.333332
Russia,2005,57.142857
Russia,2006,65
Russia,2007,65
Russia,2008,63.75
Russia,2009,60
Russia,2010,60
Russia,2011,60
Russia,2012,60
Russia,2013,60.833332
Russia,2014,60
Russia,2015,52
Russia,2016,52.5
Slovakia,1992,
Slovakia,1993,40
Slovakia,1994,40
Slovakia,1995,52.5
Slovakia,1996,55
Slovakia,1997,55
Slovakia,1998,52.5
Slovakia,1999,50
Slovakia,2000,50
Slovakia,2001,53.333332
Slovakia,2002,61.666668
Slovakia,2003,63.333332
Slovakia,2004,68
Slovakia,2005,73.75
Slovakia,2006,77.5
Slovakia,2007,75
Slovakia,2008,78
Slovakia,2009,80
Slovakia,2010,80
Slovakia,2011,80
Slovakia,2012,78.571426
Slovakia,2013,79
Slovakia,2014,79.166664
Slovakia,2015,80
Slovakia,2016,80
Slovenia,1992,
Slovenia,1993,
Slovenia,1994,72.5
Slovenia,1995,72.5
Slovenia,1996,72.5
Slovenia,1997,72.5
Slovenia,1998,75
Slovenia,1999,75
Slovenia,2000,73.333336
Slovenia,2001,73.333336
Slovenia,2002,78.333336
Slovenia,2003,81.25
Slovenia,2004,85
Slovenia,2005,85
Slovenia,2006,88
Slovenia,2007,88
Slovenia,2008,88
Slovenia,2009,88
Slovenia,2010,90
Slovenia,2011,84.166664
Slovenia,2012,73.5
Slovenia,2013,65
Slovenia,2014,64.545456
Slovenia,2015,63.333332
Slovenia,2016,67.5
South Africa,1992,50
South Africa,1993,50
South Africa,1994,50
South Africa,1995,50
South Africa,1996,50
South Africa,1997,50
South Africa,1998,51.25
South Africa,1999,51.25
South Africa,2000,55
South Africa,2001,57.5
South Africa,2002,55
South Africa,2003,58.75
South Africa,2004,60
South Africa,2005,65
South Africa,2006,65
South Africa,2007,65
South Africa,2008,65
South Africa,2009,70
South Africa,2010,70
South Africa,2011,65.833336
South Africa,2012,64.444443
South Africa,2013,60.625
South Africa,2014,59.5
South Africa,2015,56.666668
South Africa,2016,56.666668
South Korea,1992,80
South Korea,1993,80
South Korea,1994,80
South Korea,1995,85
South Korea,1996,85
South Korea,1997,58.333332
South Korea,1998,42
South Korea,1999,55
South Korea,2000,65
South Korea,2001,65
South Korea,2002,70
South Korea,2003,70
South Korea,2004,70
South Korea,2005,76
South Korea,2006,70
South Korea,2007,75
South Korea,2008,80
South Korea,2009,80
South Korea,2010,80
South Korea,2011,80
South Korea,2012,81.666664
South Korea,2013,85
South Korea,2014,84.375
South Korea,2015,86.666664
South Korea,2016,86.25
Spain,1992,90
Spain,1993,90
Spain,1994,90
Spain,1995,90
Spain,1996,90
Spain,1997,90
Spain,1998,90
Spain,1999,95
Spain,2000,95
Spain,2001,95
Spain,2002,95
Spain,2003,97.5
Spain,2004,100
Spain,2005,100
Spain,2006,100
Spain,2007,100
Spain,2008,100
Spain,2009,96.666664
Spain,2010,95
Spain,2011,86.666664
Spain,2012,65
Spain,2013,58.888889
Spain,2014,62.727272
Spain,2015,65
Spain,2016,63.333332
Switzerland,1992,100
Switzerland,1993,100
Switzerland,1994,100
Switzerland,1995,100
Switzerland,1996,100
Switzerland,1997,100
Switzerland,1998,100
Switzerland,1999,100
Switzerland,2000,100
Switzerland,2001,100
Switzerland,2002,100
Switzerland,2003,100
Switzerland,2004,100
Switzerland,2005,100
Switzerland,2006,100
Switzerland,2007,100
Switzerland,2008,100
Switzerland,2009,100
Switzerland,2010,100
Switzerland,2011,100
Switzerland,2012,100
Switzerland,2013,100
Switzerland,2014,100
Switzerland,2015,100
Switzerland,2016,100
Thailand,1992,70
Thailand,1993,70
Thailand,1994,75
Thailand,1995,75
Thailand,1996,75
Thailand,1997,68.333336
Thailand,1998,55
Thailand,1999,52.5
Thailand,2000,55
Thailand,2001,55
Thailand,2002,55
Thailand,2003,61.666668
Thailand,2004,62.5
Thailand,2005,65
Thailand,2006,65
Thailand,2007,65
Thailand,2008,65
Thailand,2009,62.5
Thailand,2010,63.333332
Thailand,2011,60
Thailand,2012,60
Thailand,2013,65
Thailand,2014,65
Thailand,2015,65
Thailand,2016,65
Turkey,1992,57.5
Turkey,1993,60
Turkey,1994,43.333332
Turkey,1995,35
Turkey,1996,35
Turkey,1997,37.5
Turkey,1998,30
Turkey,1999,30
Turkey,2000,36
Turkey,2001,30
Turkey,2002,26
Turkey,2003,29
Turkey,2004,36.25
Turkey,2005,40
Turkey,2006,40
Turkey,2007,40
Turkey,2008,40
Turkey,2009,43.333332
Turkey,2010,46.666668
Turkey,2011,48.333332
Turkey,2012,49.166668
Turkey,2013,54.5
Turkey,2014,54.545456
Turkey,2015,45
Turkey,2016,51.25
Ukraine,1992,
Ukraine,1993,
Ukraine,1994,
Ukraine,1995,
Ukraine,1996,
Ukraine,1997,28.333334
Ukraine,1998,28.333334
Ukraine,1999,28.333334
Ukraine,2000,20
Ukraine,2001,27.5
Ukraine,2002,30
Ukraine,2003,32
Ukraine,2004,35
Ukraine,2005,40
Ukraine,2006,40
Ukraine,2007,40
Ukraine,2008,35.625
Ukraine,2009,26.25
Ukraine,2010,29.166666
Ukraine,2011,31.666666
Ukraine,2012,30
Ukraine,2013,27.272728
Ukraine,2014,15.714286
Ukraine,2015,11.25
Ukraine,2016,25
United Arab Emirates,1992,
United Arab Emirates,1993,
United Arab Emirates,1994,
United Arab Emirates,1995,
United Arab Emirates,1996,
United Arab Emirates,1997,
United Arab Emirates,1998,
United Arab Emirates,1999,
United Arab Emirates,2000,
United Arab Emirates,2001,
United Arab Emirates,2002,
United Arab Emirates,2003,75
United Arab Emirates,2004,75
United Arab Emirates,2005,75
United Arab Emirates,2006,80
United Arab Emirates,2007,90
United Arab Emirates,2008,90
United Arab Emirates,2009,90
United Arab Emirates,2010,90
United Arab Emirates,2011,90
United Arab Emirates,2012,90
United Arab Emirates,2013,90
United Arab Emirates,2014,90
United Arab Emirates,2015,90
United Arab Emirates,2016,90
United Kingdom,1992,100
United Kingdom,1993,100
United Kingdom,1994,100
United Kingdom,1995,100
United Kingdom,1996,100
United Kingdom,1997,100
United Kingdom,1998,100
United Kingdom,1999,100
United Kingdom,2000,100
United Kingdom,2001,100
United Kingdom,2002,100
United Kingdom,2003,100
United Kingdom,2004,100
United Kingdom,2005,100
United Kingdom,2006,100
United Kingdom,2007,100
United Kingdom,2008,100
United Kingdom,2009,100
United Kingdom,2010,100
United Kingdom,2011,100
United Kingdom,2012,100
United Kingdom,2013,95.555557
United Kingdom,2014,95.454544
United Kingdom,2015,97.5
United Kingdom,2016,91
United States,1992,100
United States,1993,100
United States,1994,100
United States,1995,100
United States,1996,100
United States,1997,100
United States,1998,100
United States,1999,100
United States,2000,100
United States,2001,100
United States,2002,100
United States,2003,100
United States,2004,100
United States,2005,100
United States,2006,100
United States,2007,100
United States,2008,100
United States,2009,100
United States,2010,100
United States,2011,99.375
United States,2012,100
United States,2013,99.375
United States,2014,100
United States,2015,100
United States,2016,100
Uruguay,1992,
Uruguay,1993,50
Uruguay,1994,50
Uruguay,1995,50
Uruguay,1996,50
Uruguay,1997,55
